date,open,close,high,low,change,volume,market_cap
2019-08-31,9597.54,9630.66,9673.22,9531.80,0.35,11454806419,172470743516
2019-08-30,9514.84,9598.17,9656.12,9428.30,0.88,13595263986,171869216524
2019-08-29,9756.79,9510.20,9756.79,9421.63,-2.53,17045878501,170274910132
2019-08-28,10203.43,9754.42,10279.37,9716.66,-4.4,17603790323,174627460400
2019-08-27,10372.83,10185.50,10381.33,10087.30,-1.81,14762609503,182325540955
2019-08-26,10126.30,10370.82,10512.33,10126.30,2.41,18438654080,185625235889
2019-08-25,10160.74,10138.52,10304.62,10008.79,-0.22,14153856610,181450186164
2019-08-24,10407.64,10159.96,10418.02,9982.30,-2.38,15451030650,181813631752
2019-08-23,10136.31,10407.97,10442.44,10078.19,2.68,15627023886,186231409722
2019-08-22,10142.52,10131.06,10233.00,9831.46,-0.11,17097508856,181257125783
2019-08-21,10764.57,10138.05,10798.73,9962.72,-5.82,19473084768,181364502142
2019-08-20,10916.35,10763.23,10947.04,10618.96,-1.4,15053082175,192530283565
2019-08-19,10350.28,10916.05,10916.05,10313.20,5.47,16038264603,195243306008
2019-08-18,10233.01,10345.81,10487.07,10119.09,1.1,12999813869,185022920955
2019-08-17,10358.72,10231.74,10452.62,10086.70,-1.23,13778035685,182966857173
2019-08-16,10319.42,10374.34,10524.35,9855.48,0.53,20228207096,185500055339
2019-08-15,10038.42,10311.55,10437.41,9675.32,2.72,22899115082,184357666577
2019-08-14,10889.49,10051.70,10889.56,10028.14,-7.69,19990838300,179692803424
2019-08-13,11385.05,10895.83,11420.05,10830.33,-4.3,16681503537,194762696644
2019-08-12,11528.19,11382.62,11528.19,11320.95,-1.26,13647198229,203441494985
2019-08-11,11349.74,11523.58,11523.58,11248.29,1.53,15774371518,205941632235
2019-08-10,11861.56,11354.02,11915.66,11323.90,-4.28,18125355447,202890020455
2019-08-09,11953.47,11862.94,11970.46,11709.75,-0.76,18339989960,211961319133
2019-08-08,11954.04,11966.41,11979.42,11556.17,0.1,19481591730,213788089212
2019-08-07,11476.19,11941.97,12036.99,11433.70,4.06,22194988641,213330426789
2019-08-06,11811.55,11478.17,12273.82,11290.73,-2.82,23635107660,205023347814
2019-08-05,10960.74,11805.65,11895.09,10960.74,7.71,23875988832,210848822060
2019-08-04,10821.63,10970.18,11009.21,10620.28,1.37,16530894787,195907875403
2019-08-03,10519.28,10821.73,10946.78,10503.50,2.88,15352685061,193233960601
2019-08-02,10402.04,10518.17,10657.95,10371.01,1.12,17489094082,187791090996
2019-08-01,10077.44,10399.67,10446.92,9922.02,3.2,17165337858,185653203391
2019-07-31,9604.05,10085.63,10085.63,9598.10,5.01,16631520648,180028959603
2019-07-30,9522.33,9607.42,9701.76,9437.34,0.89,13829811132,171472452506
2019-07-29,9548.18,9519.15,9681.65,9472.95,-0.3,13791445323,169880343827
2019-07-28,9491.63,9552.86,9575.55,9252.30,0.65,13738687093,170461958074
2019-07-27,9871.16,9477.68,10167.32,9411.52,-3.99,16817809536,169099540423
2019-07-26,9913.13,9870.30,9916.52,9717.98,-0.43,14495714483,176085968354
2019-07-25,9809.10,9911.84,10154.25,9773.96,1.05,15821952090,176806451137
2019-07-24,9887.73,9811.93,9908.80,9614.31,-0.77,17398734322,175005760794
2019-07-23,10346.75,9900.77,10346.75,9883.60,-4.31,17851916995,176572890702
2019-07-22,10596.95,10343.11,10651.79,10154.92,-2.4,16334414913,184443440748
2019-07-21,10777.53,10599.11,10841.89,10389.60,-1.66,17130580467,188987475962
2019-07-20,10525.82,10767.14,11048.66,10451.28,2.29,20206615155,191963691255
2019-07-19,10653.96,10530.73,10716.98,10229.63,-1.16,20727426310,187725578628
2019-07-18,9698.50,10666.48,10736.84,9376.80,9.98,25187024648,190129918121
2019-07-17,9471.21,9693.80,9963.13,9163.13,2.35,24569921549,172777250515
2019-07-16,10896.65,9477.64,10996.63,9448.11,-13.02,24151199070,168908640950
2019-07-15,10257.84,10895.09,11052.77,9992.01,6.21,25384047207,194147627475
2019-07-14,11381.02,10256.06,11451.20,10234.58,-9.88,22486000001,182741933552
2019-07-13,11813.13,11392.38,11841.96,10908.48,-3.56,21042616384,202968191001
2019-07-12,11354.30,11815.99,11905.49,11179.14,4.07,23534692797,210494417832
2019-07-11,12139.71,11358.66,12144.62,11158.92,-6.43,28595327690,202324174692
2019-07-10,12571.54,12156.51,13129.53,11710.98,-3.3,33627574244,216515999522
2019-07-09,12284.33,12573.81,12779.13,12233.26,2.36,28167921523,223928128583
2019-07-08,11446.60,12285.96,12345.83,11393.37,7.33,23482551458,218778355444
2019-07-07,11217.62,11450.85,11541.62,11148.80,2.08,19369044277,203881891346
2019-07-06,10982.54,11208.55,11620.97,10982.54,2.06,21092024306,199546110914
2019-07-05,11203.10,10978.46,11395.66,10874.96,-2.01,23838480210,195424678267
2019-07-04,11972.72,11215.44,12006.08,11166.57,-6.33,25920294033,199617404432
2019-07-03,10818.16,11961.27,11968.08,10818.16,10.57,30796494294,212867079175
2019-07-02,10588.68,10801.68,10912.19,9737.88,2.01,31015895223,192206536806
2019-07-01,10796.93,10583.13,11206.44,10089.31,-1.98,29378589324,188297637574
2019-06-30,11931.99,10817.16,12178.38,10799.01,-9.34,27256473494,192442065810
2019-06-29,12400.76,11959.37,12400.91,11508.38,-3.56,29923961128,212739713110
2019-06-28,11162.17,12407.33,12445.18,10914.49,11.16,35087757766,220681459666
2019-06-27,13017.12,11182.81,13311.14,10491.85,-14.09,39977475223,198878940964
2019-06-26,11778.58,13016.23,13796.49,11755.60,10.51,45105733173,231462117209
