PC1,PC2,PC3,PC4,label
2.597274,-0.088517,-0.720479,-0.080594,1
2.593526,-0.012095,-1.085749,-0.096764,0
2.566817,1.675412,0.906867,-0.354814,0
2.761572,-1.581874,-0.700415,0.05805,0
2.499949,2.681778,-0.110076,-0.422958,1
2.600961,0.107523,-0.674463,-0.12528,1
2.40379,2.456848,-1.21028,-0.376036,1
2.446291,1.771968,-1.067399,-0.326815,0
2.631958,-0.628105,-0.153216,-0.07905,1
2.623796,-0.762289,-0.50573,-0.03909,0
2.646868,-0.061063,0.406406,-0.156347,1
2.809806,-1.427033,3.281946,-0.139675,0
2.745885,-0.242007,1.126354,-0.088254,0
2.74739,0.569922,1.600362,-0.149428,0
2.754249,-0.73347,-0.904588,0.036138,1
2.770836,-0.812689,-0.457959,-0.00156,0
2.851573,-0.559935,0.734771,-0.036541,0
2.687916,2.978752,-0.782305,-0.348004,0
2.987461,1.736305,3.887291,-0.284627,0
2.917494,-0.002788,0.991281,-0.038303,1
2.683388,0.265081,-2.223061,-0.011955,1
2.820192,-0.639932,0.470562,0.006019,0
2.506435,1.156675,0.976803,-0.180341,1
2.572836,-1.148789,-0.119053,0.019038,0
2.478217,0.288186,0.241507,-0.185591,1
2.474949,1.59422,2.656071,-0.402846,0
2.656945,-1.877698,1.242849,-0.025573,1
2.644862,-1.445468,-0.251135,0.064751,0
2.496113,1.998675,0.018745,-0.372279,0
2.697403,-1.884312,-0.14144,0.042597,1
2.513855,-0.805028,-0.545343,-0.019016,1
2.395563,0.918851,-1.657758,-0.239527,0
2.360243,2.206527,-0.659064,-0.411574,1
2.555856,-1.368831,0.353359,-0.05063,1
2.343349,0.991275,-1.924781,-0.225891,0
2.558288,-1.448214,-1.813734,0.065145,0
2.578506,-1.801552,-1.121376,0.043965,1
2.422622,0.067201,-0.500565,-0.170465,1
2.313138,-1.740431,-1.785608,0.090731,1
2.198394,-0.453861,-1.241094,-0.164723,0
1.996531,1.548566,-1.571937,-0.372643,1
2.170654,-1.541821,-0.304547,-0.037699,1
2.204923,-1.453502,-0.324096,-0.060231,0
2.171485,-1.239279,-0.559777,-0.073546,1
2.09323,-1.629091,-0.070695,-0.036971,1
1.882607,-0.258498,0.970314,-0.231384,1
1.680088,-0.835644,-1.566978,-0.073049,1
1.609155,-0.502215,-0.256039,-0.218404,1
1.417884,1.811701,-0.569489,-0.432967,0
1.5675,-0.632575,-0.846024,-0.221804,1
1.567114,-0.852131,0.836745,-0.239401,0
1.654552,-1.235709,0.27034,-0.122559,0
1.636242,-0.291005,0.53776,-0.220228,1
1.781262,-2.002837,0.816627,-0.140311,0
1.765632,-1.194637,0.625129,-0.122072,0
1.612773,0.256268,-1.306936,-0.143947,1
1.719784,-1.594312,0.025807,-0.122006,1
1.654821,-1.667814,-0.249598,-0.156159,1
1.588272,-1.854058,-1.025957,-0.159833,1
1.460892,-0.274541,-2.443325,-0.324388,0
1.459011,-0.129899,-1.72452,-0.357002,1
1.568195,-0.635927,0.775872,-0.308541,0
1.342845,-0.086126,-1.919042,-0.298926,1
1.430848,-1.128106,-0.727765,-0.256262,0
1.401183,-1.375252,-0.418649,-0.253543,1
1.299798,-1.287064,0.285789,-0.257674,1
1.176147,0.767081,-1.469095,-0.423986,0
1.291563,0.670069,-1.083872,-0.462889,0
1.320726,1.403279,-2.014273,-0.399709,0
1.369012,2.481301,0.17343,-0.584781,1
1.441472,-0.918136,-0.693611,-0.247771,1
1.443062,-0.931205,0.619733,-0.329435,1
1.498655,0.131511,0.754389,-0.3222,0
1.45493,1.295747,-1.98576,-0.488762,0
1.493012,1.470277,-1.782209,-0.478203,0
1.685356,-0.729602,0.203283,-0.281265,1
1.480126,1.726042,-0.545234,-0.54702,0
1.57648,1.555942,-1.643413,-0.426115,0
2.066684,0.26323,1.651739,-0.19458,0
2.058498,-1.09307,-0.870241,0.157575,1
1.995602,-0.852722,0.054976,-0.160526,0
1.96849,-0.424442,-1.647308,-0.206072,0
1.846622,-0.66952,0.2762,-0.202078,1
1.685895,0.070818,-1.554409,-0.313917,0
1.842954,-0.660323,0.578738,-0.292915,0
1.954753,-0.56657,0.916029,-0.258885,0
1.790214,2.443324,-0.071431,-0.5933,1
1.943576,-0.713478,-0.396431,-0.255975,1
2.021249,-0.916864,1.781758,-0.319892,0
1.932072,-1.330966,0.504236,-0.194421,1
1.85776,-1.349298,-0.796423,-0.193875,0
1.734569,-1.287602,-0.92301,-0.163575,1
1.486246,1.318251,-1.002929,-0.506583,0
1.710064,-0.844304,0.484526,-0.297333,0
1.35332,3.616373,0.391251,-0.819763,1
1.610524,-0.796264,1.616535,-0.400682,1
1.331951,1.286334,-1.917012,-0.543253,1
1.62918,-1.331126,0.791785,-0.307803,0
1.588784,-0.670154,-0.983075,-0.326062,0
1.540169,-0.424349,-1.651768,-0.345722,1
1.635824,-1.105685,1.617974,-0.379465,1
1.528894,-0.30241,0.130847,-0.425854,1
1.456028,-1.153114,-0.79142,-0.315483,1
1.34086,-0.94421,-0.010656,-0.320892,1
1.292052,-0.957602,-0.275527,-0.358252,1
1.301219,-1.282033,-0.79945,-0.347044,1
1.056595,-1.360506,-0.025925,-0.287917,1
0.773962,-0.968937,0.414529,-0.342143,1
0.590188,0.22144,-1.925818,-0.626195,1
0.531297,1.630378,-1.45996,-0.761426,0
0.736294,-0.969913,-0.575389,-0.47103,1
0.858963,-1.368395,1.869227,-0.531479,0
0.761988,-0.104748,-0.997732,-0.516416,0
0.630109,0.857263,-0.838852,-0.712212,1
0.65352,-1.548394,-0.3129,-0.427281,1
0.587576,-1.393304,1.167641,-0.54528,1
0.56716,-1.182421,-0.588431,-0.511946,0
0.566579,-0.191626,0.688523,-0.597628,0
0.734858,-0.935552,0.015748,-0.42881,0
0.770239,-0.382377,0.654855,-0.562143,1
0.661652,-0.832919,0.417612,-0.553271,1
0.552047,0.706514,-0.230321,-0.742756,0
0.530807,1.574681,-0.59728,-0.849149,0
0.458292,1.545238,2.738171,-0.822023,1
0.332072,0.454235,-2.052383,-0.726264,1
0.368371,-1.362675,-0.484415,-0.522254,1
0.146075,-0.688333,0.004019,-0.611587,1
-0.165907,-0.064922,0.363694,-0.603331,1
-0.186744,-1.409971,-0.65186,-0.576484,1
-0.189284,-1.787249,-0.192776,-0.663159,1
-0.31956,-1.460875,-1.06909,-0.703041,1
-0.17111,-1.240482,-0.216197,-0.630709,0
-0.114877,-1.584139,-1.030547,-0.628344,1
-0.334021,-0.696211,0.987778,-0.619362,1
-0.433518,2.120119,0.163378,-1.04615,0
-0.020717,-0.533651,1.025112,-0.485803,0
-0.001776,1.634832,-0.814298,-0.663148,0
0.253569,-0.056469,-0.882639,-0.02451,0
0.25773,-0.935808,0.419315,-0.236081,1
0.175742,-0.931609,0.605773,-0.572931,1
-0.163945,-0.650251,-0.571215,-0.551687,1
-0.573374,-0.646158,-1.331658,-0.564966,1
-0.579253,-1.525427,-1.210283,-0.537967,0
-0.442899,-1.96335,0.988318,-0.658437,1
-0.602708,-1.059188,1.090408,-0.830476,1
-0.746682,-1.660741,-0.37731,-0.724509,1
-0.931448,1.038691,-0.907583,-0.958081,0
-0.861044,-0.67229,-0.926191,-0.819353,1
-0.792155,-0.833958,0.098095,-0.756392,0
-0.982762,0.371764,-1.548641,-0.813673,1
-0.977272,-1.848996,0.871129,-0.753958,1
-1.420591,-1.454963,-0.353867,-0.752523,1
-1.730083,-1.521677,-0.921793,-0.795108,1
-1.901833,-1.998789,-0.267005,-0.768947,1
-2.219342,-1.07413,0.137009,-0.442506,0
-2.163217,-0.229668,-1.222235,-0.795739,1
-2.414459,-0.161765,-0.817944,-1.018425,1
-2.492715,-2.17697,1.451046,-1.144391,1
-2.848159,-0.569471,-1.655293,-1.114891,1
-2.849184,-1.353216,-0.176064,-1.123615,1
-3.08202,-1.037802,0.711843,-1.181549,1
-4.187222,-1.202802,-0.918625,-0.865513,1
-6.100778,-1.517644,0.59572,-0.93609,1
-6.362348,-1.828895,0.846092,-0.716611,0
-5.364405,-2.427061,1.504398,-1.127055,0
-5.231182,0.098632,1.796807,-1.338811,1
-5.960456,-2.447328,-0.440736,-1.365433,1
-6.523771,-2.065672,-0.392148,-1.328514,1
-6.403805,0.467467,-0.607674,-1.710427,0
-6.105307,-2.08845,-0.561422,-1.278276,1
-6.644938,-0.688862,0.836231,-1.553396,1
-7.590686,-0.629884,-2.799406,-1.874683,1
-7.716935,-2.661152,1.336651,-1.861687,0
-7.669674,-1.457958,-0.685946,-1.699389,1
-7.163987,-2.098349,0.684041,-1.349556,0
-6.788406,0.717409,-0.662093,-0.950195,0
-6.091156,0.403256,1.091391,-1.309275,0
-4.920143,-1.768979,0.306184,-0.167342,0
-5.0881,1.923093,0.787521,-1.460718,1
-4.303699,-1.47746,7.075573,-1.346607,0
-5.359588,-0.92178,1.915289,-1.287985,1
-5.708526,-1.283516,1.529624,-1.439183,0
-5.192907,-0.677594,-0.364434,-1.286108,0
-5.076042,-0.516369,-0.64465,-1.186901,0
-4.2944,-1.195403,1.006156,-0.829249,0
-4.388491,-1.184655,-1.428209,-0.966676,1
-4.386313,-1.915731,-2.783668,-1.056292,0
-5.026036,-0.508296,-1.444915,-0.769549,1
-5.372951,-1.318688,0.040283,-0.839668,1
-5.778182,0.984409,-0.260057,-0.705073,1
-6.51495,-1.021999,-1.344473,-0.480287,1
-6.69181,-1.91726,1.72071,-1.128205,1
-6.583803,1.242681,-1.983023,-1.470054,0
-5.568622,-2.119155,0.290174,-0.704489,0
-5.099755,-2.32737,0.776639,-0.741711,0
-5.308441,1.518748,-0.703358,-0.912357,1
-4.600599,-1.869783,0.523362,-0.630506,0
-4.467771,-0.77841,-1.149534,-1.052083,1
-4.867561,-0.502069,-3.056722,-1.071829,1
-4.317539,-2.369119,3.881573,-1.198198,0
-4.619893,-0.431872,-1.816826,-1.057841,1
-3.657648,-0.751331,-0.595831,-0.179738,0
-2.937803,-0.801113,-0.870546,0.069447,0
-3.009487,-1.598873,1.488556,-0.356561,1
-3.078664,-0.471463,0.153436,-0.835047,1
-3.531207,-2.033615,0.821542,-0.784738,1
-3.442927,0.294329,-1.003928,-1.073987,0
-2.76046,-1.602114,-0.471255,-0.639021,0
-2.542669,-1.882167,-0.617482,-0.629568,0
-2.782236,-0.974733,-0.057252,-0.7668,1
-2.786939,-1.83798,1.481493,-0.877756,0
-2.910952,0.658206,-0.897825,-0.977366,0
-2.936808,-0.381838,-2.138549,-1.045455,1
-3.066421,-1.070625,0.528525,-1.042856,1
-3.013229,0.085152,-0.985728,-1.209185,0
-2.517052,0.672444,-0.264311,-0.99649,0
-2.283953,1.092693,-0.791358,-0.998454,1
-1.980657,0.929386,-1.733522,-0.676158,0
-1.560888,1.335096,-0.373201,-0.361641,0
-1.376505,0.875975,4.5502,-0.960083,1
-1.160149,-1.78531,-1.238801,-0.483294,0
-0.50918,-1.054228,0.194276,-0.164128,0
-0.556417,-0.954297,-0.617353,0.31977,1
-0.678593,-0.794152,0.854492,-0.266088,0
-0.880468,-1.039753,0.362442,-0.265929,1
-1.019914,-1.249152,1.226681,-0.578732,1
-1.26229,0.215476,1.270785,-0.689454,0
-0.915537,-0.368903,2.364986,-0.748106,0
-1.194019,-1.109069,-1.781033,-0.580818,1
-1.166785,-1.294289,0.040591,-0.6804,0
-1.45518,-1.07361,1.626312,-0.627043,1
-2.018061,-0.479817,0.15931,-0.669397,1
-2.103166,0.074765,2.319839,-0.997436,1
-2.379394,-2.225857,1.875185,-0.76835,1
-2.428062,-2.135373,1.304468,-0.770476,0
-2.587713,-1.368474,-0.207526,-0.892643,1
-2.91515,-2.064127,-0.573551,-0.70422,1
-2.652294,-1.315847,-1.179404,-0.723954,0
-2.191919,-1.784744,-0.189108,-0.714874,0
-2.262104,0.99958,-0.296667,-1.023351,1
-1.903599,-2.11207,1.697073,-0.81121,0
-1.92025,1.107404,0.069895,-1.127209,0
-2.058295,-0.572366,0.867719,-0.873228,1
-2.298943,-1.268102,1.885838,-0.972075,1
-2.51809,0.915457,-0.66077,-1.167345,0
-2.483593,-0.714394,-0.030252,-0.959953,1
-2.638193,-1.663358,-0.781949,-0.866779,1
-2.945299,-0.184067,-2.887229,-1.117136,1
-2.842269,-0.651779,1.511621,-1.274165,1
-2.923699,-1.832762,-0.909023,-1.049395,1
-2.64925,-1.115172,-0.378544,-1.021604,0
-0.679367,-1.793174,4.104576,-0.619981,1
-1.033369,-1.391475,-3.625616,-0.381597,1
-1.159324,-1.790612,0.520355,-0.416002,1
-1.514808,0.671485,-2.457914,-0.688707,1
-1.187749,-1.765307,3.365013,-0.737256,0
-1.419489,-1.429874,-3.617586,-0.507873,1
-1.829295,-1.430023,-3.598792,-0.259017,1
-1.855445,2.509174,-0.027447,-0.711736,0
-1.515812,-1.388909,-0.842977,-0.429391,1
-1.524934,-1.271665,-1.295969,-0.570886,0
-1.725123,0.803083,-1.949988,-0.768671,1
-1.867825,1.838647,0.271283,-0.884744,1
-1.726719,-1.440724,-3.606301,-0.429661,0
-1.637623,1.352691,0.758815,-0.902644,0
-1.548444,-0.060236,1.410071,-0.778506,1
-1.945228,0.423203,-0.946946,-0.600291,1
-1.888295,-0.928383,-0.607558,-0.662419,1
-2.059605,0.299853,-1.682699,-0.846702,1
-2.155938,3.826221,-0.153261,-1.26676,0
-1.859538,0.384718,-2.261715,-0.808292,0
-1.764526,0.625808,-1.942836,-0.814303,0
-1.560994,-1.207558,-0.075879,-0.649746,1
-1.547178,-0.324516,0.2819,-0.774927,0
-1.22758,-1.438804,-0.068806,-0.41563,0
-0.969927,-1.907475,2.342449,-0.587089,1
-1.113424,-2.039867,-0.696557,-0.571705,1
-1.06363,-2.21296,3.322501,-0.56714,1
-1.238081,-0.47409,-1.342526,-0.637509,0
-1.099987,-0.480095,-1.04304,-0.608618,0
-0.922611,-0.892792,-0.449627,-0.615569,0
-0.779132,-1.000881,3.389301,-0.725221,1
-0.955139,-1.272388,-2.283906,-0.642157,0
-1.139324,1.478567,0.871568,-1.013305,1
-1.097043,-0.089385,-0.024062,-0.83679,0
-0.826534,-1.029893,1.406954,-0.718095,0
-0.785381,1.299929,-0.002036,-0.7448,0
-0.721031,2.980321,1.471819,-0.952585,1
-0.674067,2.27099,-0.242491,-0.937166,0
-0.311618,-2.037924,0.272863,-0.553521,0
-0.325879,-0.549264,1.215169,-0.706152,1
-0.31672,-0.583816,-0.220487,-0.544217,0
-0.436543,0.37259,0.576608,-0.638933,1
-0.289645,-0.868846,4.49609,-0.723475,0
-0.370526,-1.080783,2.07889,-0.601167,1
-0.615261,1.754213,0.734258,-0.906896,1
-0.524036,-1.626943,-1.623238,-0.495794,1
-0.479236,-2.079682,0.636968,-0.534594,1
-0.528014,-0.479279,0.409443,-0.650993,0
-0.692319,2.418197,0.441855,-0.971635,1
-0.659441,1.030564,-0.291483,-0.846462,1
-0.588447,-0.852081,-1.130709,-0.627863,1
-0.553155,-0.394031,-0.040025,-0.723617,0
-0.542726,0.834133,1.45924,-0.922255,0
-0.326895,0.173173,-1.729339,-0.507071,0
-0.110129,0.208373,0.401962,-0.61321,1
-0.161088,2.231249,0.127575,-0.823421,0
0.202873,-1.766751,-1.35222,-0.246711,0
-0.058554,1.208775,-1.407984,-0.595656,1
0.15246,-0.528882,0.583826,-0.542813,0
0.234701,-1.419093,0.337339,-0.519703,1
0.040817,2.267586,1.888615,-0.965336,0
-0.025544,0.607165,-0.664707,-0.660353,1
0.049801,-0.636719,1.644633,-0.595669,1
-0.027794,-0.792756,-1.685988,-0.504971,1
0.080295,-1.618005,-0.020112,-0.498092,0
0.035772,2.681261,0.359291,-0.766798,0
0.39576,-0.277146,0.852459,-0.565434,1
0.254538,1.315515,-0.176183,-0.599905,1
0.05033,3.09992,-0.159867,-0.722977,1
0.351523,-0.612375,-1.041999,-0.495506,0
0.439063,-0.394903,1.451828,-0.559951,1
0.322312,1.945851,0.406002,-0.783888,0
0.278508,0.896414,-1.226783,-0.584652,1
0.165952,2.028338,3.032282,-0.80189,1
0.130275,-0.299883,-1.982844,-0.411443,0
0.171447,-1.112869,0.034684,-0.426392,1
0.146536,-0.82556,0.828809,-0.463683,0
0.106191,-0.84198,-0.168699,-0.492611,1
-0.148514,2.073265,-0.890892,-0.726184,1
0.036593,-0.727754,-1.143023,-0.46965,1
-0.147283,1.426072,-0.536493,-0.77687,1
-0.192352,1.877447,-0.7855,-0.870952,0
0.093835,-1.462058,1.298013,-0.543621,0
0.205978,-0.986043,0.699701,-0.485545,0
0.236744,-0.752753,-0.526669,-0.489539,1
0.33098,-0.964643,0.32686,-0.473347,0
0.136652,2.790963,1.132613,-0.890688,1
0.388768,-0.320538,2.640559,-0.680713,1
0.187977,-0.19888,-2.149864,-0.545797,1
0.130284,-0.867563,0.931046,-0.462036,1
-0.219468,-1.423354,-0.661802,-0.337947,1
-0.391922,-1.24127,-0.055719,-0.414394,1
-0.453855,-0.63361,-0.713927,-0.566335,1
-0.332427,-1.443116,1.534074,-0.563334,0
-0.349458,-1.408366,-0.965458,-0.590388,1
-0.186542,-2.097056,4.790716,-0.742887,1
-0.554008,-1.070675,-1.283426,-0.53121,1
-0.962927,0.576397,1.301047,-0.678562,1
-0.946506,-0.613339,0.308178,-0.670186,0
-0.733157,-0.881217,2.085455,-0.748963,0
-1.050573,1.727364,-2.276016,-0.886377,1
-0.952176,-0.261954,-2.048148,-0.816458,1
-1.071124,2.087301,-0.25686,-1.112023,1
-0.851221,-0.832885,0.784179,-0.673773,0
-0.926465,2.700609,1.084354,-1.06305,0
-0.471756,-1.147258,2.335148,-0.67458,0
-0.52248,-0.548323,0.106755,-0.71094,0
-0.379037,-1.80128,-0.213136,-0.501267,0
-0.376012,-0.102295,-2.236147,-0.626877,0
-0.164136,-1.683213,-2.130116,-0.480763,1
-0.253433,0.513859,-0.99028,-0.723255,0
-0.201108,2.036892,2.004587,-0.88137,0
-0.040694,2.377899,0.086393,-0.756175,0
0.184765,-0.166179,1.280823,-0.557417,1
0.262672,-0.336226,1.120862,-0.497354,0
0.322083,-1.573768,-0.980856,-0.362035,1
0.204273,-0.549367,-0.519347,-0.328464,1
0.166257,0.249397,-0.974934,-0.554735,0
0.331102,-0.963611,-0.083928,-0.303272,0
0.225525,0.95047,2.910207,-0.646075,1
0.118868,0.572269,-1.637041,-0.544272,1
0.158064,-1.201915,-0.627115,-0.346368,1
-0.068197,4.360577,2.61121,-1.118222,0
0.132008,1.35358,2.120988,-0.841528,1
-0.04223,3.583205,-0.392093,-0.957218,0
0.196615,0.105636,0.722368,-0.662202,1
0.136476,-0.861133,-1.162646,-0.394124,0
-0.110207,3.675511,-1.101483,-0.973332,1
0.030742,0.015602,0.210455,-0.611416,1
-0.201695,1.865834,-2.247687,-0.830093,1
0.118894,-1.768159,0.374832,-0.533969,0
-0.182162,1.216482,-0.945834,-0.752385,1
-0.226749,0.12567,-0.177056,-0.616399,1
-0.148602,-1.483025,-0.558301,-0.493036,0
-0.334956,2.634923,0.639101,-0.919148,0
-0.208482,-0.383199,-0.797445,-0.576698,1
-0.240316,-1.438097,-1.488934,-0.519509,1
-0.251478,-1.256201,0.357504,-0.558762,1
-0.471716,0.514759,-2.821483,-0.697939,0
-0.328904,-1.183514,-0.213048,-0.577509,1
-0.160085,-0.997315,0.964567,-0.437869,0
-0.07921,1.163384,-0.651863,-0.585757,0
